구분,휴식활동,취미/오락활동,사회/기타활동,관광활동,스포츠참여활동,스포츠관람활동,문화예술관람활동,문화예술참여활동
전체,98.9,94.3,93.4,50.5,48.4,43.7,37.7,17.5
남성,98.7,94.3,92.3,48.5,53.3,62.2,36,15.4
여성,99.1,94.2,94.6,52.5,43.5,25.4,39.4,19.6
15-19세,99.1,98.2,94.7,36.3,57.1,39.9,45.4,30.2
20대,99,97.7,94.7,49.3,60.9,50.4,60.6,24.3
30대,98.5,95.6,92.1,53.3,53.4,47.7,48.7,20.4
40대,98.6,95.4,92.3,54.8,51.8,47.9,42.1,17.1
50대,99.1,93.8,94.1,53.2,46.1,45.4,33.6,15.1
60대,98.7,92.5,94.1,51.6,40.6,40.2,22.6,13
70대이상,99.6,87.5,92.9,42.6,30,27,8.4,8.8
